composition,icsdnum,energyperatom
Mn1O4W1,67908.0,-8.283
C3N4,83265.0,-8.283
La2O5Ti1,247561.0,-8.283
La2O7Ti2,164027.0,-8.283
C3N4,41952.0,-8.282
N1V1,169821.0,-8.277999999999999
Mo1O6Y2,99575.0,-8.273
La3Nb1O7,79481.0,-8.271
La3Nb1O7,10058.0,-8.27
La4O12Ti3,91765.0,-8.27
Mo4O11Y4,281037.0,-8.267999999999999
La3N6Nb2,411473.0,-8.266
O2Ti1,154610.0,-8.265
Mo2O7Y2,202522.0,-8.262
O7Sc2Si2,16214.0,-8.258
O2Ti1,15409.0,-8.254
O2Ti1,69331.0,-8.253
Mn1O3Y1,422988.0,-8.252
Mn1O3Y1,182285.0,-8.252
O2Ti1,41056.0,-8.251
Mn1O3Y1,422987.0,-8.251
O4V1Y1,36060.0,-8.25
N1V1,167800.0,-8.248
O2Ti1,15328.0,-8.246
Mn1Mo1N2,81489.0,-8.243
C10K1,66879.0,-8.241
La2O9Si1Ti2,75583.0,-8.24
Mn1O3Y1,166217.0,-8.238
C10Rb1,66880.0,-8.236
O6V2W1,2576.0,-8.234
O6V2W1,2575.0,-8.234
N1V1,604393.0,-8.234
B2Mn1W2,44449.0,-8.232999999999999
O17Ti9,9042.0,-8.227
Al3C3Co1W9,421253.0,-8.227
La1Nb5O14,33783.0,-8.227
O15Ti8,9041.0,-8.224
La5O15Ti4,72987.0,-8.222999999999999
O13Ti7,9040.0,-8.219
Mo1N1,151773.0,-8.218
Mo1N1,151774.0,-8.218
O4V1Y1,246710.0,-8.218
Nb1O2,96.0,-8.215
Nb1O2,35181.0,-8.215
Mo1N1,99452.0,-8.214
O11Ti6,35121.0,-8.213
O2Ti1,75179.0,-8.211
Mo1N1,168366.0,-8.208
O2Ti1,657748.0,-8.207
Cr2O6W1,20314.0,-8.206
Nb3O6Ti1,280002.0,-8.205
Nb12O33W1,23799.0,-8.204
Cr1O3Y1,28909.0,-8.203
O9Ti5,9038.0,-8.203
N1V1,644847.0,-8.202
Si3W5,73331.0,-8.202
La1Nb7O12,82138.0,-8.199
O2Ti1,154035.0,-8.198
Cr1O5Ti2,65219.0,-8.197000000000001
Mn1Nb2O6,15856.0,-8.195
Cr1La1O3,91270.0,-8.195
Cr1La1O3,173469.0,-8.195
La1O3V1,73900.0,-8.193999999999999
La1O3V1,73898.0,-8.193999999999999
La1O3V1,73899.0,-8.193
La1O3V1,73901.0,-8.192
Nb12O29,160157.0,-8.19
O7Ti4,6098.0,-8.19
Nb12O29,155016.0,-8.189
Nb12O29,155017.0,-8.189
Cr1La1O3,167590.0,-8.187999999999999
Ba1Mn3O38Ti18,81584.0,-8.187999999999999
O9Ti3V2,108830.0,-8.187000000000001
C1Ti1,618944.0,-8.185
La2O5Si1,109414.0,-8.185
N4Si3,16818.0,-8.182
Mn1O4Ti2,22383.0,-8.179
